"Start","Stop"
20 Sep 2001 00:00:00.00,27 Sep 2001 00:00:00.00
"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 02:01:44.40,77.997,-20.209,2352.121853
20 Sep 2001 02:02:44.00,88.348,-20.214,2290.830698
20 Sep 2001 02:03:44.00,98.997,-20.212,2307.231547
20 Sep 2001 02:04:13.98,104.166,-20.209,2344.603749
20 Sep 2001 03:31:44.36,31.229,-20.210,2356.878246
20 Sep 2001 03:32:44.00,37.350,-20.478,1996.775806
20 Sep 2001 03:33:44.00,46.297,-21.436,1668.702991
20 Sep 2001 03:34:44.00,59.511,-23.078,1401.361064
20 Sep 2001 03:35:44.00,78.094,-24.727,1236.526521
20 Sep 2001 03:36:44.00,100.021,-24.960,1217.584194
20 Sep 2001 03:37:44.00,119.786,-23.518,1350.910048
20 Sep 2001 03:38:44.00,134.264,-21.773,1598.485402
20 Sep 2001 03:39:44.00,144.108,-20.636,1915.760292
20 Sep 2001 03:40:44.00,150.842,-20.219,2272.699675
20 Sep 2001 03:40:52.76,151.639,-20.210,2327.005348
20 Sep 2001 05:03:29.34,1.182,-20.210,2357.693498
20 Sep 2001 05:04:29.00,1.080,-20.614,1925.940125
20 Sep 2001 05:05:29.00,0.923,-22.386,1494.585004
20 Sep 2001 05:06:29.00,0.632,-27.136,1072.878304
20 Sep 2001 05:07:29.00,359.872,-39.990,682.851248
20 Sep 2001 05:08:29.00,351.790,-77.839,427.512466
20 Sep 2001 05:09:29.00,184.064,-50.944,549.510294
20 Sep 2001 05:10:29.00,182.663,-30.839,907.432596
20 Sep 2001 05:11:29.00,182.269,-23.804,1320.932429
20 Sep 2001 05:12:29.00,182.088,-21.113,1749.871356
20 Sep 2001 05:13:29.00,181.989,-20.261,2183.790407
20 Sep 2001 05:13:48.58,181.966,-20.210,2325.710296
20 Sep 2001 06:35:31.25,334.439,-20.210,2358.001572
20 Sep 2001 06:36:31.00,328.634,-20.510,1978.257309
20 Sep 2001 06:37:31.00,319.950,-21.622,1628.422056
20 Sep 2001 06:38:31.00,306.587,-23.645,1337.380969
20 Sep 2001 06:39:31.00,286.716,-25.846,1152.397361
20 Sep 2001 06:40:31.00,262.342,-26.217,1127.903291
20 Sep 2001 06:41:31.00,240.739,-24.303,1273.267690
20 Sep 2001 06:42:31.00,225.715,-22.096,1540.587385
20 Sep 2001 06:43:31.00,215.966,-20.727,1877.524175
20 Sep 2001 06:44:31.00,209.508,-20.225,2251.822475
20 Sep 2001 06:44:43.78,208.422,-20.209,2334.534043
20 Sep 2001 08:07:33.62,310.123,-20.210,2358.094159
20 Sep 2001 08:08:33.00,300.808,-20.325,2108.427018
20 Sep 2001 08:09:33.00,289.102,-20.612,1926.837441
20 Sep 2001 08:10:33.00,275.516,-20.831,1838.298601
20 Sep 2001 08:11:33.00,261.368,-20.781,1856.570808
20 Sep 2001 08:12:33.00,248.316,-20.509,1978.580648
20 Sep 2001 08:13:33.00,237.391,-20.259,2186.487331
20 Sep 2001 08:14:09.94,231.814,-20.209,2347.362395
20 Sep 2001 09:39:06.94,292.225,-20.210,2357.749426
20 Sep 2001 09:40:06.00,281.729,-20.234,2231.115191
20 Sep 2001 09:41:06.00,270.157,-20.259,2186.478270
20 Sep 2001 09:42:06.00,258.590,-20.234,2231.757133
20 Sep 2001 09:43:04.05,248.272,-20.210,2356.144860
20 Sep 2001 11:08:47.73,296.452,-20.210,2353.718314
20 Sep 2001 11:09:47.00,286.133,-20.256,2190.905946
20 Sep 2001 11:10:47.00,274.363,-20.326,2108.268682
20 Sep 2001 11:11:47.00,262.153,-20.315,2118.388481
20 Sep 2001 11:12:47.00,250.606,-20.239,2219.971049
20 Sep 2001 11:13:34.63,242.458,-20.210,2358.001700
20 Sep 2001 12:37:42.77,316.691,-20.209,2342.492229
20 Sep 2001 12:38:42.00,308.367,-20.407,2042.121916
20 Sep 2001 12:39:42.00,297.129,-20.955,1796.704520
20 Sep 2001 12:40:42.00,282.828,-21.573,1638.686738
20 Sep 2001 12:41:42.00,266.507,-21.790,1595.131986
20 Sep 2001 12:42:42.00,250.578,-21.407,1675.235556
20 Sep 2001 12:43:42.00,237.155,-20.764,1862.813688
20 Sep 2001 12:44:42.00,226.813,-20.305,2128.937364
20 Sep 2001 12:45:25.95,220.946,-20.210,2358.081913
20 Sep 2001 14:07:38.85,341.345,-20.210,2330.295966
20 Sep 2001 14:08:38.00,337.488,-20.619,1923.270575
20 Sep 2001 14:09:38.00,331.306,-22.181,1526.624115
20 Sep 2001 14:10:38.00,320.521,-25.651,1165.912810
20 Sep 2001 14:11:38.00,299.917,-31.374,888.764898
20 Sep 2001 14:12:38.00,265.037,-34.744,790.536271
20 Sep 2001 14:13:38.00,232.373,-30.225,930.207426
20 Sep 2001 14:14:38.00,214.145,-24.821,1228.738485
20 Sep 2001 14:15:38.00,204.488,-21.772,1598.578212
20 Sep 2001 14:16:38.00,198.834,-20.473,1999.329215
20 Sep 2001 14:17:29.93,195.610,-20.210,2357.915139
20 Sep 2001 15:39:16.15,9.011,-20.210,2324.758822
20 Sep 2001 15:40:16.00,11.464,-20.668,1901.789672
20 Sep 2001 15:41:16.00,15.438,-22.442,1486.255961
20 Sep 2001 15:42:16.00,22.802,-26.805,1091.843178
20 Sep 2001 15:43:16.00,39.749,-36.231,755.519094
20 Sep 2001 15:44:16.00,84.773,-46.835,589.649918
20 Sep 2001 15:45:16.00,133.681,-37.757,723.580631
20 Sep 2001 15:46:16.00,152.702,-27.603,1047.574544
20 Sep 2001 15:47:16.00,160.710,-22.792,1437.472042
20 Sep 2001 15:48:16.00,164.931,-20.796,1850.833230
20 Sep 2001 15:49:16.00,167.497,-20.218,2273.466517
20 Sep 2001 15:49:27.85,167.887,-20.210,2357.478077
20 Sep 2001 17:13:11.07,42.077,-20.209,2331.119136
20 Sep 2001 17:14:11.00,50.507,-20.406,2042.904747
20 Sep 2001 17:15:11.00,61.572,-20.906,1812.704778
20 Sep 2001 17:16:11.00,75.386,-21.446,1666.316016
20 Sep 2001 17:17:11.00,90.942,-21.629,1627.092473
20 Sep 2001 17:18:11.00,106.122,-21.293,1702.488402
20 Sep 2001 17:19:11.00,119.074,-20.725,1878.322290
20 Sep 2001 17:20:11.00,129.221,-20.305,2129.076895
20 Sep 2001 17:20:56.88,135.284,-20.210,2356.169156
21 Sep 2001 02:42:53.83,50.879,-20.210,2355.720948
21 Sep 2001 02:43:53.00,59.665,-20.329,2105.434942
21 Sep 2001 02:44:53.00,70.816,-20.637,1915.128374
21 Sep 2001 02:45:53.00,83.971,-20.914,1810.012891
21 Sep 2001 02:46:53.00,98.011,-20.927,1805.667525
21 Sep 2001 02:47:53.00,111.309,-20.665,1902.936712
21 Sep 2001 02:48:53.00,122.674,-20.349,2087.396031
21 Sep 2001 02:49:52.04,131.652,-20.209,2333.476768
21 Sep 2001 04:14:12.76,16.691,-20.210,2357.364832
21 Sep 2001 04:15:12.00,19.978,-20.566,1948.890084
21 Sep 2001 04:16:12.00,25.229,-22.055,1547.516727
21 Sep 2001 04:17:12.00,34.441,-25.533,1174.268008
21 Sep 2001 04:18:12.00,52.782,-31.967,869.157908
21 Sep 2001 04:19:12.00,88.419,-37.619,726.328980
21 Sep 2001 04:20:12.00,126.361,-33.103,834.615811
21 Sep 2001 04:21:12.00,146.838,-26.288,1123.391135
21 Sep 2001 04:22:12.00,156.977,-22.414,1490.459315
21 Sep 2001 04:23:12.00,162.661,-20.697,1889.650607
21 Sep 2001 04:24:12.00,166.221,-20.212,2303.027862
21 Sep 2001 04:24:15.14,166.370,-20.210,2324.855803
21 Sep 2001 05:46:08.36,348.501,-20.210,2357.870600
21 Sep 2001 05:47:08.00,345.570,-20.589,1937.709409
21 Sep 2001 05:48:08.00,340.864,-22.188,1525.460195
21 Sep 2001 05:49:08.00,332.382,-26.059,1138.166753
21 Sep 2001 05:50:08.00,314.302,-33.792,815.343185
21 Sep 2001 05:51:08.00,274.430,-41.289,661.892811
21 Sep 2001 05:52:08.00,231.956,-34.962,785.149501
21 Sep 2001 05:53:08.00,211.963,-26.752,1095.001354
21 Sep 2001 05:54:08.00,202.777,-22.502,1477.520739
21 Sep 2001 05:55:08.00,197.781,-20.701,1887.840472
21 Sep 2001 05:56:08.00,194.702,-20.211,2309.791581
21 Sep 2001 05:56:10.69,194.592,-20.210,2328.848407
21 Sep 2001 07:18:12.32,322.807,-20.210,2358.068337
21 Sep 2001 07:19:12.00,315.046,-20.421,2032.544003
21 Sep 2001 07:20:12.00,304.332,-21.087,1757.286937
