"Start","Stop"
20 Sep 2001 00:00:00.00,27 Sep 2001 00:00:00.00
"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
21 Sep 2001 06:52:39.41,19.369,-42.000,622.930574
21 Sep 2001 06:53:39.00,88.621,-65.790,441.388998
21 Sep 2001 06:54:36.65,153.373,-42.000,622.930574
23 Sep 2001 06:45:54.31,355.824,-42.000,622.930578
23 Sep 2001 06:46:54.00,347.685,-85.822,401.132792
23 Sep 2001 06:47:54.00,176.992,-45.385,580.226005
23 Sep 2001 06:48:01.63,176.917,-42.000,622.930579
25 Sep 2001 06:39:19.82,332.181,-42.000,622.930574
25 Sep 2001 06:40:19.00,263.990,-64.765,445.324015
25 Sep 2001 06:41:16.00,200.561,-42.000,622.930575
26 Sep 2001 18:57:23.83,322.430,-42.000,622.930574
26 Sep 2001 18:58:23.00,258.634,-52.259,515.709072
26 Sep 2001 18:58:59.71,224.827,-42.000,622.930579

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 07:06:40.54,47.035,-42.000,636.932036
20 Sep 2001 07:07:40.00,108.491,-50.599,540.725725
20 Sep 2001 07:08:13.87,138.505,-42.000,636.932037
20 Sep 2001 19:54:01.57,316.695,-42.000,636.932040
20 Sep 2001 19:55:01.00,254.347,-52.875,522.225405
20 Sep 2001 19:55:41.08,217.667,-42.000,636.932036
22 Sep 2001 07:00:41.13,87.147,-42.000,636.932036
22 Sep 2001 07:00:49.49,94.518,-42.113,635.313687
22 Sep 2001 07:00:53.86,98.363,-42.000,636.932039
22 Sep 2001 19:47:49.83,284.815,-42.000,636.932038
22 Sep 2001 19:48:15.48,261.874,-43.153,620.963881
22 Sep 2001 19:48:29.55,249.533,-42.000,636.932035
23 Sep 2001 07:42:52.29,296.944,-42.000,636.932038
23 Sep 2001 07:43:27.70,264.602,-44.138,608.215876
23 Sep 2001 07:43:45.83,248.706,-42.000,636.932037
23 Sep 2001 20:30:22.41,70.169,-42.000,636.932035
23 Sep 2001 20:30:47.51,92.713,-43.064,622.156493
23 Sep 2001 20:31:00.68,104.317,-42.000,636.932040
25 Sep 2001 07:35:45.59,325.296,-42.000,636.932037
25 Sep 2001 07:36:45.00,262.093,-54.761,508.524605
25 Sep 2001 07:37:29.34,220.340,-42.000,636.932035
25 Sep 2001 20:23:12.74,38.409,-42.000,636.932037
25 Sep 2001 20:24:12.00,100.621,-52.442,525.574648
25 Sep 2001 20:24:50.83,136.048,-42.000,636.932038

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
24 Sep 2001 02:46:18.12,49.940,-42.000,626.407374
24 Sep 2001 02:47:18.00,109.432,-45.673,580.171765
24 Sep 2001 02:47:34.56,123.207,-42.000,626.407373
24 Sep 2001 14:31:30.24,278.173,-42.000,626.407373
24 Sep 2001 14:31:37.05,272.094,-42.082,625.261941
24 Sep 2001 14:31:40.81,268.736,-42.000,626.407374
26 Sep 2001 02:39:18.56,21.814,-42.000,626.407374
26 Sep 2001 02:40:18.00,89.762,-63.859,451.406971
26 Sep 2001 02:41:14.40,151.316,-42.000,626.407375
26 Sep 2001 14:24:04.46,325.241,-42.000,626.407378
26 Sep 2001 14:25:04.00,260.475,-54.153,504.554763
26 Sep 2001 14:25:45.28,221.661,-42.000,626.407375

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 04:00:47.47,66.805,-42.000,634.978593
20 Sep 2001 04:01:25.09,101.717,-44.526,601.567382
20 Sep 2001 04:01:44.60,118.983,-42.000,634.978593
20 Sep 2001 16:49:23.74,325.547,-42.000,634.978591
20 Sep 2001 16:50:23.00,260.823,-58.960,481.108733
20 Sep 2001 16:51:14.82,208.564,-42.000,634.978593
22 Sep 2001 16:43:02.62,299.806,-42.000,634.978596
22 Sep 2001 16:44:02.00,243.364,-44.250,604.964454
22 Sep 2001 16:44:13.24,234.291,-42.000,634.978593
23 Sep 2001 04:36:26.39,310.789,-42.000,634.978591
23 Sep 2001 04:37:26.00,252.124,-46.481,579.018987
23 Sep 2001 04:37:46.43,235.112,-42.000,634.978593
25 Sep 2001 04:29:27.68,334.812,-42.000,634.978591
25 Sep 2001 04:30:27.00,269.422,-61.544,467.804447
25 Sep 2001 04:31:22.56,211.074,-42.000,634.978592
25 Sep 2001 17:18:54.16,55.081,-42.000,634.978595
25 Sep 2001 17:19:54.00,111.864,-43.809,610.520724
25 Sep 2001 17:20:03.05,119.126,-42.000,634.978596

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
21 Sep 2001 10:44:18.40,345.014,-42.000,622.930963
21 Sep 2001 10:45:18.00,275.720,-69.791,428.065763
21 Sep 2001 10:46:18.00,202.562,-42.428,617.019349
21 Sep 2001 10:46:19.09,202.245,-42.000,622.930964
23 Sep 2001 10:37:35.23,8.278,-42.000,622.930963
23 Sep 2001 10:38:35.00,58.047,-83.424,402.816950
23 Sep 2001 10:39:35.00,178.395,-45.141,583.021894
23 Sep 2001 10:39:42.15,178.981,-42.000,622.930964
25 Sep 2001 10:31:02.80,32.395,-42.000,622.930968
25 Sep 2001 10:32:02.00,99.901,-60.977,461.947601
25 Sep 2001 10:32:54.46,154.863,-42.000,622.930967
26 Sep 2001 22:49:07.47,33.543,-42.000,622.930966
26 Sep 2001 22:50:07.00,99.215,-54.785,497.498656
26 Sep 2001 22:50:49.00,139.200,-42.000,622.930965

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 09:44:44.84,25.974,-42.000,651.387676
20 Sep 2001 09:45:44.00,87.702,-64.497,465.987904
20 Sep 2001 09:46:44.00,156.062,-43.037,636.596139
20 Sep 2001 09:46:46.87,157.117,-42.000,651.387676
20 Sep 2001 20:20:35.53,23.991,-42.000,651.387675
20 Sep 2001 20:21:35.00,86.472,-63.612,469.795362
20 Sep 2001 20:22:35.00,152.362,-42.524,643.794040
20 Sep 2001 20:22:36.48,152.917,-42.000,651.387675
21 Sep 2001 10:27:27.21,325.244,-42.000,651.387675
21 Sep 2001 10:28:27.00,262.891,-55.700,513.253639
21 Sep 2001 10:29:14.91,217.674,-42.000,651.387676
21 Sep 2001 19:31:34.52,311.925,-42.000,651.387675
21 Sep 2001 19:32:34.00,252.828,-49.492,562.837343
21 Sep 2001 19:33:06.17,225.188,-42.000,651.387678
22 Sep 2001 09:38:08.80,36.764,-42.000,651.387678
22 Sep 2001 09:39:08.00,98.022,-56.453,508.283283
22 Sep 2001 09:39:58.42,146.345,-42.000,651.387680
22 Sep 2001 20:13:49.52,14.068,-42.000,651.387678
22 Sep 2001 20:14:49.00,72.912,-72.116,440.118127
22 Sep 2001 20:15:49.00,160.333,-45.863,600.818705
22 Sep 2001 20:15:58.51,162.860,-42.000,651.387680
23 Sep 2001 10:20:40.48,335.597,-42.000,651.387675
23 Sep 2001 10:21:40.00,272.575,-63.340,471.001874
23 Sep 2001 10:22:40.00,207.593,-42.223,648.125822
23 Sep 2001 10:22:40.63,207.355,-42.000,651.387675
23 Sep 2001 19:25:08.37,297.211,-42.000,651.387678
23 Sep 2001 19:26:08.00,243.289,-42.779,640.188537
23 Sep 2001 19:26:12.31,239.939,-42.000,651.387677
24 Sep 2001 09:31:35.95,49.332,-42.000,651.387675
24 Sep 2001 09:32:35.00,107.194,-49.010,567.435247
24 Sep 2001 09:33:06.23,133.794,-42.000,651.387678
24 Sep 2001 20:07:05.79,4.677,-42.000,651.387678
24 Sep 2001 20:08:05.00,43.173,-79.913,424.410624
24 Sep 2001 20:09:05.00,170.671,-48.099,576.487371
24 Sep 2001 20:09:18.81,172.275,-42.000,651.387675
25 Sep 2001 10:13:55.66,345.206,-42.000,651.387679
25 Sep 2001 10:14:55.00,285.841,-71.507,441.771438
25 Sep 2001 10:15:55.00,200.227,-45.596,603.942391
25 Sep 2001 10:16:03.91,197.776,-42.000,651.387679
26 Sep 2001 09:25:09.68,66.400,-42.000,651.387677
26 Sep 2001 09:25:47.13,99.846,-44.353,619.158760
26 Sep 2001 09:26:06.88,116.739,-42.000,651.387678
