"Start","Stop"
20 Sep 2001 00:00:00.00,27 Sep 2001 00:00:00.00
"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 02:00:50.63,79.242,-20.209,2351.867467
20 Sep 2001 02:01:50.00,89.561,-20.213,2299.821663
20 Sep 2001 02:02:50.00,100.129,-20.210,2324.981358
20 Sep 2001 02:03:06.22,102.912,-20.209,2345.064597
20 Sep 2001 03:30:45.18,31.587,-20.210,2356.863195
20 Sep 2001 03:31:45.00,37.793,-20.477,1997.295821
20 Sep 2001 03:32:45.00,46.819,-21.423,1671.578149
20 Sep 2001 03:33:45.00,60.089,-23.028,1407.413211
20 Sep 2001 03:34:45.00,78.617,-24.611,1246.285942
20 Sep 2001 03:35:45.00,100.315,-24.801,1230.357405
20 Sep 2001 03:36:45.00,119.823,-23.390,1364.931971
20 Sep 2001 03:37:45.00,134.152,-21.702,1612.388901
20 Sep 2001 03:38:45.00,143.937,-20.607,1929.005464
20 Sep 2001 03:39:45.00,150.655,-20.216,2285.184168
20 Sep 2001 03:39:51.78,151.275,-20.210,2327.091070
20 Sep 2001 05:02:29.82,1.485,-20.210,2357.688412
20 Sep 2001 05:03:29.00,1.452,-20.606,1929.427856
20 Sep 2001 05:04:29.00,1.407,-22.363,1498.060335
20 Sep 2001 05:05:29.00,1.332,-27.076,1076.235211
20 Sep 2001 05:06:29.00,1.150,-39.821,685.704572
20 Sep 2001 05:07:29.00,359.296,-77.511,428.084836
20 Sep 2001 05:08:29.00,182.149,-51.263,546.762100
20 Sep 2001 05:09:29.00,181.812,-30.941,903.797925
20 Sep 2001 05:10:29.00,181.720,-23.843,1317.065227
20 Sep 2001 05:11:29.00,181.683,-21.127,1745.910141
20 Sep 2001 05:12:29.00,181.666,-20.263,2179.780002
20 Sep 2001 05:12:49.13,181.663,-20.210,2325.661516
20 Sep 2001 06:34:31.65,334.716,-20.210,2357.999539
20 Sep 2001 06:35:31.00,329.009,-20.508,1979.617044
20 Sep 2001 06:36:31.00,320.412,-21.625,1627.937169
20 Sep 2001 06:37:31.00,307.138,-23.676,1334.158865
20 Sep 2001 06:38:31.00,287.267,-25.948,1145.577832
20 Sep 2001 06:39:31.00,262.687,-26.377,1117.780050
20 Sep 2001 06:40:31.00,240.824,-24.434,1261.526956
20 Sep 2001 06:41:31.00,225.653,-22.169,1528.624652
20 Sep 2001 06:42:31.00,215.849,-20.756,1865.886210
20 Sep 2001 06:43:31.00,209.375,-20.230,2240.631673
20 Sep 2001 06:43:45.46,208.151,-20.209,2334.403609
20 Sep 2001 08:06:34.10,310.368,-20.210,2358.094302
20 Sep 2001 08:07:34.00,300.986,-20.329,2104.944734
20 Sep 2001 08:08:34.00,289.270,-20.622,1922.191815
20 Sep 2001 08:09:34.00,275.649,-20.847,1832.562859
20 Sep 2001 08:10:34.00,261.449,-20.798,1850.047554
20 Sep 2001 08:11:34.00,248.343,-20.522,1971.685249
20 Sep 2001 08:12:34.00,237.378,-20.263,2179.566069
20 Sep 2001 08:13:12.38,231.583,-20.209,2347.230920
20 Sep 2001 09:38:08.13,292.333,-20.210,2357.760955
20 Sep 2001 09:39:08.00,281.687,-20.235,2229.165328
20 Sep 2001 09:40:08.00,270.104,-20.260,2184.949033
20 Sep 2001 09:41:08.00,258.531,-20.234,2230.713989
20 Sep 2001 09:42:06.24,248.181,-20.210,2356.093572
20 Sep 2001 11:07:50.23,296.282,-20.210,2353.804486
20 Sep 2001 11:08:50.00,285.859,-20.256,2191.222949
20 Sep 2001 11:09:50.00,274.086,-20.323,2110.739930
20 Sep 2001 11:10:50.00,261.900,-20.311,2122.973203
20 Sep 2001 11:11:50.00,250.397,-20.236,2226.358778
20 Sep 2001 11:12:35.40,242.644,-20.210,2357.997727
20 Sep 2001 12:36:45.00,316.441,-20.209,2342.634374
20 Sep 2001 12:37:44.00,308.119,-20.403,2044.765273
20 Sep 2001 12:38:44.00,296.869,-20.942,1800.976212
20 Sep 2001 12:39:44.00,282.591,-21.544,1644.754400
20 Sep 2001 12:40:44.00,266.340,-21.751,1602.776293
20 Sep 2001 12:41:44.00,250.506,-21.371,1683.843823
20 Sep 2001 12:42:44.00,237.160,-20.741,1871.733562
20 Sep 2001 12:43:44.00,226.865,-20.297,2137.752652
20 Sep 2001 12:44:26.37,221.206,-20.210,2358.082693
20 Sep 2001 14:06:40.15,341.063,-20.210,2330.403825
20 Sep 2001 14:07:40.00,337.088,-20.628,1919.355520
20 Sep 2001 14:08:40.00,330.780,-22.197,1524.145496
20 Sep 2001 14:09:40.00,319.798,-25.651,1165.924934
20 Sep 2001 14:10:40.00,298.982,-31.247,893.082161
20 Sep 2001 14:11:40.00,264.380,-34.363,800.215865
20 Sep 2001 14:12:40.00,232.344,-29.909,942.547203
20 Sep 2001 14:13:40.00,214.339,-24.671,1241.205456
20 Sep 2001 14:14:40.00,204.716,-21.711,1610.548129
20 Sep 2001 14:15:40.00,199.053,-20.454,2010.784082
20 Sep 2001 14:16:30.34,195.897,-20.210,2357.918033
20 Sep 2001 15:38:16.19,8.692,-20.210,2324.762876
20 Sep 2001 15:39:16.00,11.071,-20.668,1901.532536
20 Sep 2001 15:40:16.00,14.930,-22.450,1485.114040
20 Sep 2001 15:41:16.00,22.101,-26.850,1089.222085
20 Sep 2001 15:42:16.00,38.751,-36.471,750.249788
20 Sep 2001 15:43:16.00,84.342,-47.636,581.081003
20 Sep 2001 15:44:16.00,134.400,-38.186,715.242881
20 Sep 2001 15:45:16.00,153.322,-27.730,1040.959235
20 Sep 2001 15:46:16.00,161.183,-22.833,1432.077345
20 Sep 2001 15:47:16.00,165.306,-20.809,1846.240678
20 Sep 2001 15:48:16.00,167.807,-20.220,2269.437423
20 Sep 2001 15:48:28.41,168.204,-20.210,2357.485352
20 Sep 2001 17:12:09.26,41.658,-20.209,2330.970154
20 Sep 2001 17:13:09.00,50.006,-20.409,2041.115327
20 Sep 2001 17:14:09.00,61.030,-20.921,1807.614256
20 Sep 2001 17:15:09.00,74.860,-21.486,1657.480395
20 Sep 2001 17:16:09.00,90.519,-21.690,1614.731920
20 Sep 2001 17:17:09.00,105.858,-21.355,1687.595903
20 Sep 2001 17:18:09.00,118.959,-20.766,1862.129963
20 Sep 2001 17:19:09.00,129.209,-20.321,2112.511695
20 Sep 2001 17:19:58.04,135.696,-20.210,2356.195875
21 Sep 2001 02:41:55.26,51.334,-20.210,2355.683936
21 Sep 2001 02:42:55.00,60.261,-20.328,2106.190190
21 Sep 2001 02:43:55.00,71.453,-20.626,1920.052261
