"Start","Stop"
1 Jan 2001 00:00:00.00,2 Jan 2001 00:00:00.00
"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2001 00:00:00.00,7.031,-89.977,400.000035
1 Jan 2001 00:01:00.00,176.367,-43.571,601.994927
1 Jan 2001 00:02:00.00,176.360,-27.839,984.340324
1 Jan 2001 00:03:00.00,176.346,-22.323,1405.950856
1 Jan 2001 00:04:00.00,176.327,-20.289,1838.727399
1 Jan 2001 00:05:00.00,176.301,-19.783,2274.842103
1 Jan 2001 00:05:02.64,176.299,-19.782,2294.016040

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2001 00:00:00.00,324.651,-26.117,1076.715887
1 Jan 2001 00:01:00.00,303.799,-34.039,772.624374
1 Jan 2001 00:02:00.00,261.192,-39.482,661.727975
1 Jan 2001 00:03:00.00,222.969,-32.070,826.506170
1 Jan 2001 00:04:00.00,205.475,-24.945,1153.991849
1 Jan 2001 00:05:00.00,197.117,-21.443,1542.977413
1 Jan 2001 00:06:00.00,192.425,-20.053,1955.911803
1 Jan 2001 00:06:48.80,189.929,-19.789,2299.548436

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2001 00:00:00.00,328.720,-19.821,2264.608319
1 Jan 2001 00:01:00.00,322.465,-20.217,1889.286223
1 Jan 2001 00:02:00.00,313.025,-21.454,1549.173441
1 Jan 2001 00:03:00.00,298.429,-23.552,1275.170615
1 Jan 2001 00:04:00.00,277.172,-25.514,1118.875770
1 Jan 2001 00:05:00.00,252.615,-25.331,1131.200661
1 Jan 2001 00:06:00.00,232.216,-23.229,1307.495470
1 Jan 2001 00:07:00.00,218.429,-21.224,1593.749571
1 Jan 2001 00:08:00.00,209.489,-20.114,1941.016615
1 Jan 2001 00:08:58.13,203.664,-19.819,2308.734366

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2001 00:03:15.73,314.773,-19.871,2295.387623
1 Jan 2001 00:04:15.00,306.353,-20.086,1994.825893
1 Jan 2001 00:05:15.00,294.914,-20.661,1749.822398
1 Jan 2001 00:06:15.00,280.276,-21.300,1593.611087
1 Jan 2001 00:07:15.00,263.570,-21.504,1554.204425
1 Jan 2001 00:08:15.00,247.380,-21.081,1640.396599
1 Jan 2001 00:09:15.00,233.883,-20.411,1834.362255
1 Jan 2001 00:10:15.00,223.583,-19.954,2105.902958
1 Jan 2001 00:10:55.39,218.199,-19.871,2318.564213

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2001 00:03:49.83,5.517,-19.954,2293.183842
1 Jan 2001 00:04:49.00,7.529,-20.426,1869.981996
1 Jan 2001 00:05:49.00,10.859,-22.298,1447.677575
1 Jan 2001 00:06:49.00,17.217,-27.075,1043.644955
1 Jan 2001 00:07:49.00,33.153,-38.312,693.945742
1 Jan 2001 00:08:49.00,86.042,-52.255,524.822026
1 Jan 2001 00:09:49.00,140.163,-38.714,686.660513
1 Jan 2001 00:10:49.00,156.530,-27.262,1033.699228
1 Jan 2001 00:11:49.00,162.985,-22.378,1436.462622
1 Jan 2001 00:12:49.00,166.328,-20.456,1857.739742
1 Jan 2001 00:13:49.00,168.342,-19.955,2285.831966
1 Jan 2001 00:13:55.49,168.513,-19.954,2332.340337

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2001 00:06:43.40,12.273,-20.055,2303.137608
1 Jan 2001 00:07:43.00,15.701,-20.504,1889.865420
1 Jan 2001 00:08:43.00,21.213,-22.190,1487.185449
1 Jan 2001 00:09:43.00,31.107,-26.078,1115.266214
1 Jan 2001 00:10:43.00,51.439,-33.134,819.783468
1 Jan 2001 00:11:43.00,90.367,-38.055,706.187528
1 Jan 2001 00:12:43.00,127.076,-32.077,851.012590
1 Jan 2001 00:13:43.00,145.452,-25.402,1160.681143
1 Jan 2001 00:14:43.00,154.521,-21.876,1537.625222
1 Jan 2001 00:15:43.00,159.644,-20.394,1941.760129
1 Jan 2001 00:16:41.11,162.786,-20.055,2344.447728

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2001 00:10:15.32,16.388,-20.174,2319.180536
1 Jan 2001 00:11:15.00,20.508,-20.592,1915.570464
1 Jan 2001 00:12:15.00,26.994,-22.120,1527.488926
1 Jan 2001 00:13:15.00,38.115,-25.416,1177.369845
1 Jan 2001 00:14:15.00,58.627,-30.602,912.362433
1 Jan 2001 00:15:15.00,91.728,-33.469,821.020082
1 Jan 2001 00:16:15.00,122.772,-29.510,954.780058
1 Jan 2001 00:17:15.00,140.885,-24.587,1242.401618
1 Jan 2001 00:18:15.00,150.772,-21.701,1602.086684
1 Jan 2001 00:19:15.00,156.637,-20.440,1993.964256
1 Jan 2001 00:20:08.31,160.072,-20.174,2355.072025

